"title","category","url"
"Repartidora de pizza salva la vida a una mujer que se desangraba","Historias Humanas","https://cnnespanol.cnn.com/2022/05/01/doordash-salva-vida-mujer-mientras-entrega-pizza-trax/"
"Biden bromea que Trump fue una ""plaga horrible"" en cena de corresponsales","Joe Biden","https://cnnespanol.cnn.com/2022/05/01/biden-bromea-trump-plaga-horrible-cena-corresponsales-casa-blanca-trax/"
"Retrasos en ICE de Orlando tienen a los migrantes durmiendo afuera","Inmigración","https://cnnespanol.cnn.com/2022/04/30/retrasos-en-la-oficina-de-ice-de-orlando-tienen-a-los-migrantes-durmiendo-afuera-trax/"
"Familia de la víctima del recluso fugitivo de Alabama espera su captura","Crimen","https://cnnespanol.cnn.com/2022/04/30/familia-de-la-victima-del-recluso-fugitivo-de-alabama-trax/"
"Agua o electricidad: elección imposible ante la megasequía en EE.UU.","Cambio climático","https://cnnespanol.cnn.com/2022/04/30/eeuu-eleccion-imposible-ante-la-megasequia-agua-o-electricidad-trax/"
"Biden dará un discurso en la cena de corresponsales de la Casa Blanca","Noticias de EE.UU.","https://cnnespanol.cnn.com/2022/04/30/biden-pronunciar-discurso-cena-corresponsales-casa-blanca-trax/"
"Históricas imágenes de la Cena de Corresponsales de la Casa Blanca","Noticias de EE.UU.","https://cnnespanol.cnn.com/gallery/fotos-historia-cena-corresponsales-casa-blanca-trax/"
"Los neoyorquinos ya no se sienten seguros en casa","Crimen","https://cnnespanol.cnn.com/2022/04/30/los-neoyorquinos-ya-no-se-sienten-seguros-en-casa-aumento-crimen-trax/"
"Denuncian que padres de Laundrie sabían el ""paradero"" del cuerpo de Petito","Crimen","https://cnnespanol.cnn.com/2022/04/30/demanda-afirma-que-los-padres-de-brian-laundrie-sabian-el-paradero-del-cuerpo-de-gabby-petito-trax/"
"Salvadoreños piden acciones al gobierno para mejorar los costos de vida","Latinoamérica","https://cnnespanol.cnn.com/video/protesta-primero-de-mayo-poder-ejecutivo-salvador-politica-descontento-mirador-mundial/"
"Conmemoran el Día del Trabajo con movilizaciones en Ecuador","Latinoamérica","https://cnnespanol.cnn.com/video/crisis-trabajadores-economia-salarios-protestas-politica-ecuador-mirador-mundial-cnne/"
"¿Quién fue Ricardo Alarcón de Quesada?","Cuba","https://cnnespanol.cnn.com/video/ricardo-alarcon-quesada-revolucion-cubana-fidel-castro-mirador-mundial/"
"¿Cuándo se celebra el Día de la Madre en México en 2022 y por qué?","México","https://cnnespanol.cnn.com/2022/05/01/cuando-se-celebra-el-dia-de-la-madre-en-mexico-en-2022-y-por-que-orix/"
"Michael Healy y Álvaro Vargas son declarados culpables de conspiración","Nicaragua","https://cnnespanol.cnn.com/2022/04/30/nicaragua-declaran-culpables-de-conspiracion-a-expresidente-y-exvicepresidente-de-consejo-empresarial-orix/"
"El gobierno de Nicaragua expulsó a la OEA y a sus diplomáticos del país","Nicaragua","https://cnnespanol.cnn.com/video/nicaragua-oea-expulsion-oficina-pkg-mario-medrano-mirador/"
"Estado de excepción en 3 provincias de Ecuador para combatir la inseguridad","Ecuador","https://cnnespanol.cnn.com/2022/04/29/el-presidente-de-ecuador-guillermo-lasso-decreta-el-estado-de-excepcion-en-tres-provincias-para-combatir-el-aumento-de-la-inseguridad-y-violencia/"
"Reforma de AMLO ¿le conviene a la democracia mexicana?","México","https://cnnespanol.cnn.com/video/reforma-electoral-lopez-obrador-mexico-mala-idea-democracia-conclusiones-cnne/"
"Arresto de inmigrantes de Texas se centra en los latinos, según demanda","Inmigración","https://cnnespanol.cnn.com/2022/04/29/una-demanda-federal-operacion-lone-star-inmigrantes-de-texas-latinos-trax/"
"Consejo de Estado suspende extradición de alias “Otoniel”","Colombia","https://cnnespanol.cnn.com/2022/04/29/consejo-de-estado-suspende-extradicion-de-alias-otoniel-orix/"
"Nancy Pelosi se reúne con Zelensky en Ucrania","Mundo","https://cnnespanol.cnn.com/video/guerra-ucrania-bombas-destruccion-rusia-pelosi-zelensky-estados-unidos-mirador-mundial/"
"Falleció el diplomático y político cubano Ricardo Alarcón de Quesada","Cuba","https://cnnespanol.cnn.com/video/murio-en-cuba-ricardo-alarcon-de-quesada-diplomatico-y-figura-de-la-revolucion-cubana/"
"¿Por qué se celebra el 1 de mayo el Día Internacional de los Trabajadores?","Sociedad","https://cnnespanol.cnn.com/2022/04/30/como-se-convirtio-el-primero-de-mayo-en-el-dia-internacional-de-los-trabajadores/"
"Caos en el aeropuerto de Israel: familia lleva un proyectil sin explotar","Israel","https://cnnespanol.cnn.com/2022/04/30/caos-familia-estadounidense-proyectil-sin-explotar-aeropuerto-israel-trax/"
"Político renuncia después de admitir que vio pornografía en el Parlamento","Reino Unido","https://cnnespanol.cnn.com/2022/04/30/politico-conservador-del-reino-unido-renuncia-despues-de-admitir-que-vio-pornografia-en-el-parlamento-trax/"
"¿Qué pasa si alguien cae en piscina de agua radioactiva?","Contaminación","https://cnnespanol.cnn.com/video/piscina-agua-radioactiva-planta-nuclear-accidente-camilo-egana-cnn/"
"Se incrementan ataques rusos en el este y sur de Ucrania","Ucrania","https://cnnespanol.cnn.com/video/guerra-ucrania-rusia-desesperacion-ataques-gustavo-valdes-camilo-egana-cnn/"
"Más reportes de suicidio de destacados empresarios rusos","Rusia","https://cnnespanol.cnn.com/video/rusia-empresarios-suicidio-gazprom-requena-panorama-cnne/"
"“Es una masacre”, dice sobreviviente de ataque a Mariúpol","Ucrania","https://cnnespanol.cnn.com/video/masacre-mariupol-ucrania-perspectivas-buenos-aires/"
"Estos son los puntos débiles de los tanques rusos en Ucrania","Rusia","https://cnnespanol.cnn.com/video/rusia-tanques-defecto-diseno-pkg-miguel-antonanzas/"
"Nasdaq termina su peor mes en casi 14 años","Economía","https://cnnespanol.cnn.com/2022/04/29/nasdaq-termina-su-peor-mes-en-casi-14-anos-recesion-trax/"
"¿Cómo logró Elon Musk quedarse con Twitter?","Empresas","https://cnnespanol.cnn.com/video/elon-musk-twitter-red-social-venta-acciones-morgan-stanley-dinero-serbia-pkg/"
"¿Por qué cae la economía china?","China","https://cnnespanol.cnn.com/video/china-economia-desaceleracion-covid-rusia-ucrania-cnne-dinero-serbia/"
"De Amazon a Meta, ¿cuánto valen las acciones de las grandes tecnológicas?","Mercado financiero","https://cnnespanol.cnn.com/2022/04/29/acciones-tecnologicas-valor-orix/"
"¿Está cerca el fin de la pandemia? El análisis del Dr. Huerta","Coronavirus","https://cnnespanol.cnn.com/video/fin-pandemia-covid-dr-huerta-perspectivas-buenos-aires/"
"¿Cómo es viajar a China en medio del confinamiento?","Coronavirus","https://cnnespanol.cnn.com/video/china-viajar-restricciones-covid-19-pkg-digital/"
"Tiempos difíciles","Coronavirus","https://cnnespanol.cnn.com/2022/04/29/opinion-tiempos-dificiles/"
"¿Se acabo la pandemia de coronavirus? Explicamos qué dijo el Dr. Fauci","Coronavirus","https://cnnespanol.cnn.com/2022/04/29/pandemia-coronavirus-covid-fauci-elmer-huerta-podcast-orix/"
"Las celebridades en la novena edición de los Premios Platino","Premios Platino","https://cnnespanol.cnn.com/video/celebran-premios-platino-mejor-cine-iberamerica-pau-mosquera-mirador-mundial/"
"Muere la leyenda de la música country Naomi Judd, integrante de The Judds","Celebridades","https://cnnespanol.cnn.com/2022/04/30/muere-la-leyenda-de-la-musica-country-naomi-judd-trax/"
"""El Cigala"" rinde un homenaje a México en su nueva gira","Música","https://cnnespanol.cnn.com/video/el-cigala-gira-homenaje-chente-manzanero-perspectivas-mexico/"
"Las 5 series y películas más esperadas en mayo","Cine","https://cnnespanol.cnn.com/video/estrenos-series-peliculas-mayo-perspectivas-buenos-aires/"
"Elon Musk quiere cifrado de extremo a extremo para los MD de Twitter","Internet","https://cnnespanol.cnn.com/2022/04/30/elon-musk-quiere-cifrado-de-extremo-a-extremo-para-los-mensajes-directos-de-twitter-trax/"
"Conjunción Venus-Júpiter de abril: a qué hora, cómo y dónde verla","Ciencia y Espacio","https://cnnespanol.cnn.com/2022/04/30/como-ver-conjuncion-venus-jupiter-abril-trax/"
"Este helicóptero busca atrapar cohetes camino a la Tierra","Ciencia y Espacio","https://cnnespanol.cnn.com/video/helicoptero-cohetes-espaciales-estados-unidos-space-x-reciclaje-tecnologia-clix-cnn/"
"Trabajadores de Airbnb podrán escoger su lugar de trabajo","Empresas","https://cnnespanol.cnn.com/video/trabajo-remoto-permanente-empresas-tecnologicas-airbnb-clix-cnn/"
"FOTOS | Kate Middleton cumple 40: la evolución de su estilo","Celebridades","https://cnnespanol.cnn.com/gallery/fotos-kate-middleton-cumple-40-la-evolucion-de-su-estilo/"
"Kate a los 40: así ha evolucionado el estilo de la duquesa de Cambridge","CNN Estilo","https://cnnespanol.cnn.com/2022/01/09/kate-a-los-40-el-estilo-de-la-duquesa-de-cambridge-trax/"
"Puma lanza una colección inspirada en Animal Crossing","CNN Estilo","https://cnnespanol.cnn.com/video/puma-videojuego-animal-crossing-nintendo-coleccion-ropa-deportiva-encuentro-cnn/"
"Consejos de estilo para la vida pospandemia","Moda","https://cnnespanol.cnn.com/2021/06/22/saliendo-encierro-consejos-moda-belleza-mundo-despues-aislamiento-trax/"
"El Real Madrid ya tiene La Liga: ¿tiene con qué para la Champions?","Deportes","https://cnnespanol.cnn.com/video/real-madrid-liga-champions-league-ancelotti-deportes/"
"Dmitry Bivol: ¿el rival más peligroso para ""Canelo"" Álvarez?","Boxeo","https://cnnespanol.cnn.com/video/canelo-alvarez-dmitry-bivol-mexico-pelea-deportes/"
